"layer","Banda1","Banda2","Banda3","Banda4","Banda5","Banda6","Banda7","Banda10","Banda11"
12,10159.5546875,9267.697265625,8892.060546875,8133.91455078125,17918.548828125,13527.2861328125,9468.0263671875,31144.091796875,27603.353515625
12,10370.2626953125,9565.982421875,9294.9892578125,9016.9130859375,16820.603515625,14312.703125,10407.8037109375,31658.52734375,27931.828125
12,10427.0576171875,9649.2451171875,9298.31640625,9014.2216796875,17163.05078125,15617.0498046875,11044.7529296875,31556.162109375,27904.884765625
12,10381.5751953125,9586.2587890625,9150.8857421875,8854.30078125,17063.759765625,14987.8134765625,10612.6708984375,31312.77734375,27778.90625
12,10384.486328125,9567.828125,9206.5419921875,8800.1435546875,17840.068359375,14298.478515625,10314.7236328125,31279.705078125,27754.25
17,10058.4833984375,9020.1640625,7575.283203125,6415.47509765625,5946.83642578125,5283.4208984375,5160.50732421875,28284.453125,25639.078125
17,10048.1904296875,9013.9873046875,7557.30517578125,6404.17822265625,5910.42919921875,5256.6484375,5143.248046875,28242.048828125,25616.623046875
17,10044.27734375,9005.1953125,7537.00537109375,6387.7587890625,5883.45947265625,5249.82958984375,5133.7666015625,28219.185546875,25576.3125
17,10063.49609375,9020.2880859375,7546.71533203125,6398.8564453125,5891.15966796875,5257.9580078125,5145.8544921875,28181.03515625,25570.828125
17,10033.296875,8995.123046875,7527.86474609375,6382.4306640625,5871.56640625,5235.640625,5127.08642578125,28173.572265625,25573.146484375
17,10023.7587890625,8998.8095703125,7533.0791015625,6377.02490234375,5868.1298828125,5234.39111328125,5130.486328125,28194.380859375,25563.44921875
17,10011.267578125,8985.28515625,7523.71630859375,6371.93798828125,5869.35205078125,5236.85498046875,5130.78369140625,28213.68359375,25560.4453125
17,10005.3759765625,8978.724609375,7516.2548828125,6369.18896484375,5875.349609375,5232.55859375,5128.89306640625,28213.134765625,25564.7578125
17,9991.2587890625,8960.6708984375,7503.447265625,6359.66015625,5892.13134765625,5238.87890625,5132.07568359375,28212.29296875,25542.8671875
17,9979.6630859375,8939.5048828125,7514.421875,6356.4453125,5929.779296875,5258.47900390625,5141.13037109375,28194.416015625,25577.619140625
12,10402.259765625,9573.1103515625,9119.2236328125,8890.392578125,15854.525390625,13506.263671875,9995.3330078125,31901.4765625,28182.517578125
12,10349.4990234375,9525.296875,9101.5322265625,8906.1005859375,16862.330078125,13752.2578125,10202.724609375,32155.478515625,28291.361328125
12,10515.330078125,9779.2216796875,9339.048828125,9390.9658203125,15346.9892578125,14854.2646484375,11164.9892578125,32294.697265625,28410.994140625
12,10369.6826171875,9531.0830078125,9039.8427734375,8742.3125,16166.7998046875,13953.171875,10304.0341796875,32175.09375,28276.96484375
12,10204.1240234375,9297.2646484375,8690.8916015625,8102.6865234375,17078.439453125,13055.3955078125,9445.4453125,31683.3515625,27904.15234375
12,10150.95703125,9202.345703125,8678.873046875,7912.26318359375,19525.134765625,12847.8388671875,9114.189453125,31226.03515625,27629.017578125
12,10250.994140625,9360.5712890625,9140.1728515625,8368.1181640625,20682.5703125,14415.7119140625,10028.63671875,30745.599609375,27399.302734375
12,10067.689453125,9095.9296875,8506.51953125,7688.66552734375,18559.375,12759.3408203125,8785.4541015625,30335.4296875,27137.2578125
12,10289.328125,9440.4189453125,8992.5546875,8715.119140625,15926.4658203125,14225.1689453125,10257.130859375,31005.66015625,27584.2578125
12,10550.7587890625,9796.8125,9612.1171875,9683.462890625,15843.9462890625,15202.9775390625,11049.7041015625,31711.6015625,27998.36328125
12,10468.609375,9687.31640625,9457.44921875,9148.974609375,17597.90234375,15219.162109375,10845.7578125,31811.17578125,28020.330078125
12,10352.0546875,9525.23828125,9224.716796875,8634.5322265625,18223.04296875,14651.25390625,10185.326171875,31577.21875,27881.5
12,10519.318359375,9766.3271484375,9714.041015625,9664.12109375,18127.806640625,15637.650390625,11493.4716796875,31501.787109375,27854.73046875
17,10058.310546875,9023.7529296875,7571.28076171875,6410.27392578125,5937.10986328125,5277.32568359375,5158.10888671875,28264.94921875,25641.029296875
17,10049.4970703125,9017.6015625,7554.10986328125,6400.7373046875,5906.17822265625,5255.68408203125,5141.35009765625,28240.658203125,25592.82421875
17,10043.0517578125,9007.6357421875,7542.3076171875,6389.33056640625,5880.32421875,5244.11376953125,5134.76025390625,28210.619140625,25573.015625
17,10041.2744140625,9004.2041015625,7534.16357421875,6387.84765625,5873.1064453125,5234.48291015625,5129.1396484375,28164.560546875,25555.970703125
17,10028.2138671875,8999.1337890625,7532.06591796875,6381.4921875,5865.6455078125,5233.4990234375,5125.99609375,28156.828125,25554.068359375
17,10032.5390625,8991.763671875,7520.5185546875,6371.58447265625,5863.24267578125,5229.54833984375,5126.22998046875,28200.58984375,25577.1640625
17,10015.193359375,8978.2236328125,7512.8359375,6362.11279296875,5855.623046875,5229.1142578125,5121.54296875,28223.0078125,25578.7109375
17,10008.134765625,8978.11328125,7510.1904296875,6364.0263671875,5873.64794921875,5233.26513671875,5125.42822265625,28219.306640625,25554.634765625
17,9995.1318359375,8966.3056640625,7515.4287109375,6367.8515625,5890.4306640625,5238.40478515625,5128.15966796875,28205.3515625,25547.36328125
17,9982.6533203125,8944.2451171875,7512.83984375,6357.1767578125,5926.65234375,5257.619140625,5137.76123046875,28186.794921875,25576.478515625
12,10602.552734375,9885.087890625,9733.9873046875,10153.8515625,15027.064453125,13510.1650390625,11085.318359375,32725.48046875,28770.21875
12,10374.552734375,9537.6220703125,9062.384765625,8765.197265625,15690.80859375,12858.765625,9688.3486328125,32236.560546875,28357.7265625
12,10337.923828125,9509.408203125,8887.6181640625,8587.275390625,16033.560546875,14693.9033203125,10836.060546875,31784.548828125,28076.849609375
12,10133.263671875,9191.875,8653.966796875,7843.54638671875,19881.982421875,13521.5791015625,9243.6357421875,31432.82421875,27867.966796875
12,10197.0947265625,9306.8544921875,8778.873046875,8286.9091796875,17041.458984375,12962.2265625,9302.21875,31578.859375,27901.685546875
12,10240.2666015625,9379.3408203125,8762.9970703125,8483.1953125,15406.396484375,12831.4228515625,9604.091796875,31993.28125,28194.865234375
12,10191.0322265625,9303.0556640625,8727.5615234375,8475.0908203125,15042.837890625,12106.0556640625,9241.7177734375,32253.462890625,28397.515625
12,10243.1279296875,9367.2919921875,8881.6083984375,8627.310546875,15823.6884765625,12350.896484375,9356.8359375,32247.583984375,28303.748046875
12,10235.4853515625,9347.294921875,8832.15234375,8304.66796875,17562.732421875,13014.7021484375,9428.7158203125,31749.974609375,27958.99609375
12,10286.349609375,9413.7744140625,9067.3720703125,8591.7998046875,18902.958984375,13812.3408203125,9984.486328125,31396.208984375,27774.03515625
12,10189.8154296875,9272.6748046875,8779.7568359375,8123.74755859375,18636.791015625,13256.6259765625,9282.421875,30699.267578125,27371.6484375
12,9918.0908203125,8883.3486328125,8231.6240234375,7026.802734375,21594.275390625,11978.7216796875,7742.44580078125,30010.736328125,26887.9375
12,10117.6220703125,9177.212890625,8638.1630859375,8030.64013671875,18082.314453125,13465.5693359375,9594.9326171875,30376.939453125,27142.4453125
12,10071.3212890625,9113.01171875,8507.7451171875,7631.38330078125,19060.232421875,13374.892578125,8858.00390625,30731.046875,27376.32421875
12,10282.0244140625,9450.642578125,8960.66796875,8638.8544921875,17576.486328125,15313.5244140625,10599.1845703125,31241.03515625,27739.197265625
12,10469.4755859375,9704.5615234375,9374.93359375,9235.8740234375,17609.193359375,16183.8486328125,11480.396484375,31516.55859375,27921.9921875
12,10623.4873046875,9901.6611328125,9828.255859375,9813.298828125,18247.037109375,15510.8115234375,11502.81640625,31622.1015625,27989.880859375
17,10059.703125,9022.9921875,7561.1142578125,6406.65234375,5933.85693359375,5265.28662109375,5149.01953125,28225.77734375,25601.158203125
17,10051.3994140625,9016.509765625,7552.63671875,6397.34619140625,5902.74853515625,5250.7529296875,5136.205078125,28211.505859375,25557.96484375
17,10053.271484375,9010.5107421875,7544.71875,6391.119140625,5882.21484375,5239.73828125,5130.9404296875,28184.5390625,25548.302734375
17,10044.419921875,9007.8583984375,7536.7919921875,6383.65673828125,5875.984375,5235.9365234375,5128.9658203125,28186.208984375,25537
17,10037.4033203125,9001.697265625,7528.35009765625,6376.7685546875,5868.89453125,5232.1005859375,5123.86328125,28179.9140625,25563.462890625
17,10016.25390625,8977.4140625,7506.41796875,6359.38232421875,5851.46875,5221.392578125,5120.9052734375,28225.421875,25586.59765625
17,9997.0419921875,8959.7275390625,7495.72998046875,6347.404296875,5837.0439453125,5214.0673828125,5119.45654296875,28271.86328125,25565.85546875
17,9997.951171875,8964.3466796875,7506.22265625,6359.70263671875,5860.5576171875,5222.2958984375,5119.46484375,28256.1328125,25572.734375
17,10008.7666015625,8967.162109375,7513.1533203125,6358.9755859375,5890.25830078125,5238.28271484375,5130.5869140625,28233.357421875,25584.642578125
17,9998.38671875,8954.55078125,7514.8251953125,6363.45263671875,5934.64892578125,5262.13671875,5139.58251953125,28235.974609375,25613.130859375
12,10496.5830078125,9705.68359375,9293.578125,9120.01171875,16589.65234375,14541.2626953125,10658.9150390625,31879.34765625,28119.1484375
12,10367.794921875,9513.28515625,8989.8642578125,8591.107421875,16871.48046875,13924.2275390625,10062.3525390625,31799.501953125,28054.60546875
12,10311.154296875,9450.4794921875,8893.1669921875,8500.6640625,16600.265625,12426.8203125,9375.9091796875,31941.55859375,28121.697265625
12,10407.1572265625,9591.6455078125,9159.728515625,8899.3369140625,16958.919921875,12867.9638671875,9678.7548828125,32017.849609375,28199.580078125
12,10379.5322265625,9556.4580078125,9145.37890625,8745.1728515625,17269.51953125,13604.92578125,9788.37109375,31819.638671875,28084.859375
12,10349.884765625,9543.1611328125,9068.9443359375,8874.890625,16255.30859375,13780.7099609375,10229.3720703125,32030.111328125,28279.263671875
12,10188.0244140625,9286.37109375,8810.9951171875,8176.490234375,18952.587890625,14071.7353515625,9759.0048828125,31714.400390625,28034.72265625
12,10140.7607421875,9234.400390625,8675.8525390625,8259.783203125,16514.103515625,12280.37109375,8951.34375,31741.7578125,28049.986328125
12,10159.0673828125,9265.7275390625,8674.7001953125,8350.4931640625,15538.0625,12076.142578125,9092.630859375,32078.181640625,28283.017578125
12,10253.6806640625,9393.39453125,8857.1044921875,8623.251953125,15305.7666015625,11894.5693359375,9157.3046875,32359.208984375,28449.392578125
12,10296.6943359375,9456.431640625,8964.8837890625,8870.34375,15548.7958984375,12690.10546875,9745.9833984375,32434.6328125,28475.669921875
12,10422.244140625,9598.1279296875,9212.646484375,8956.66796875,17185.34375,14122.3369140625,10399.9443359375,32092.111328125,28261.697265625
12,10300.9072265625,9448.28515625,9006.5966796875,8581.07421875,17300.759765625,14224.8017578125,10192.9326171875,31635.392578125,27957.216796875
12,10193.458984375,9285.4833984375,8767.6416015625,8156.9296875,18246.96875,13098.306640625,9267.0849609375,31004.828125,27550.251953125
12,10087.3720703125,9133.4423828125,8668.134765625,7707.61669921875,19925.171875,12996.1494140625,8700.658203125,30523.7890625,27221.93359375
12,10438.53515625,9629.609375,9537.8798828125,8938.8349609375,20071.16015625,14805.744140625,10369.8798828125,30361.505859375,27120.712890625
12,10032.1220703125,9059.7890625,8483.3955078125,7508.041015625,19932.748046875,12938.5146484375,8610.4375,30222.373046875,27047.7734375
12,10047.443359375,9085.888671875,8521.814453125,7615.35595703125,19721.64453125,13274.919921875,8807.8583984375,30322.958984375,27101.546875
12,10194.0537109375,9286.8916015625,8772.142578125,8113.46435546875,18115.271484375,13613.0126953125,9455.4033203125,30614.4765625,27276.798828125
12,10469.8095703125,9672.0615234375,9478.328125,9116.5458984375,18720.89453125,15081.65234375,10685.0234375,31070.955078125,27640.873046875
17,10061.1708984375,9030.017578125,7567.36962890625,6408.87255859375,5927.38134765625,5268.24658203125,5146.7177734375,28177.44921875,25567.19140625
17,10051.8134765625,9019.09375,7550.53466796875,6393.3828125,5893.330078125,5248.4765625,5138.14404296875,28167.8046875,25558.5703125
17,10048.3671875,9014.55078125,7542.9912109375,6388.0458984375,5877.20361328125,5234.74951171875,5131.39599609375,28185.298828125,25562.634765625
17,10040.4013671875,8997.791015625,7529.28369140625,6378.9521484375,5863.935546875,5224.05517578125,5127.5576171875,28189.232421875,25548.9921875
17,10027.9130859375,8991.0439453125,7514.720703125,6365.58349609375,5851.0732421875,5220.447265625,5126.7744140625,28205.7890625,25565.908203125
17,10013.6142578125,8983.1474609375,7508.951171875,6365.9345703125,5850.44677734375,5223.0556640625,5119.24462890625,28242.09375,25592.861328125
17,10007.28515625,8973.66015625,7503.759765625,6358.68798828125,5844.833984375,5223.95947265625,5119.830078125,28268.384765625,25595.765625
17,10006.2998046875,8969.095703125,7500.96240234375,6361.041015625,5862.5537109375,5222.35546875,5121.236328125,28268.7578125,25604.6796875
17,10002.943359375,8966.6015625,7506.67626953125,6359.03515625,5878.95703125,5231.82080078125,5129.42724609375,28246.984375,25592.306640625
17,9983.4482421875,8951.58203125,7509.86328125,6362.41357421875,5918.53125,5254.0087890625,5139.55859375,28249.826171875,25626.31640625
12,10296.5166015625,9427.193359375,8874.8642578125,8462.4912109375,16110.8955078125,13468.255859375,9760.791015625,31985.126953125,28177.240234375
12,10301.7080078125,9438.6484375,8964.197265625,8434.0146484375,17341.80859375,13159.416015625,9423.64453125,31856.228515625,28098.4921875
12,10423.8720703125,9593.1748046875,9194.7783203125,8731.4296875,17815.328125,14869.4384765625,10413.564453125,31603.001953125,27940.25390625
12,10420.85546875,9588.85546875,9185.3798828125,8803.1826171875,17542.560546875,14498.228515625,10358.87109375,31424.96875,27836.935546875
12,10202.646484375,9284.220703125,8735.751953125,8161.32177734375,16931.294921875,11786.5732421875,8685.8955078125,31320.173828125,27772.0078125
12,10438.3056640625,9648.482421875,9283.83984375,9031.4091796875,16422.533203125,13162.9453125,9858.7822265625,31591.486328125,27957.759765625
12,10257.4736328125,9396.490234375,8885.05859375,8601.962890625,15099.5283203125,12225.380859375,9307.9853515625,31981.357421875,28194.619140625
12,10208.3525390625,9311.384765625,8860.5205078125,8273.1875,18854.8984375,13707.673828125,9595.7666015625,31584.486328125,27985.44921875
12,10322.140625,9492.1865234375,9021.044921875,8715.8310546875,16631.8046875,14094.0078125,10174.7998046875,31710.888671875,28081.50390625
12,10297.5234375,9448.0341796875,8861.0498046875,8546.9892578125,15938.7041015625,12856.20703125,9651.8095703125,31959.228515625,28210.099609375
12,10252.8369140625,9378.0830078125,8748.5751953125,8436.212890625,15674.9482421875,12736.46875,9626.2568359375,32096.6171875,28238.658203125
12,10226.125,9348.701171875,8786.970703125,8459.490234375,16138.0009765625,12847.669921875,9461.0478515625,32052.083984375,28212.17578125
12,10220.3486328125,9330.869140625,8826.0791015625,8351.0791015625,16716.517578125,13037.54296875,9408.80859375,31864.4921875,28082.3671875
12,10182.5576171875,9285.509765625,8749.9990234375,8145.0234375,17967.04296875,13067.2529296875,9201.681640625,31527.017578125,27873.982421875
12,10157.826171875,9223.2021484375,8678.876953125,8043.24169921875,17667.9765625,12368.2255859375,8862.8310546875,31554.46484375,27886.78515625
12,10646.732421875,9926.0029296875,9845.9521484375,9821.267578125,18366.1953125,15155.3720703125,11317.3359375,31484.080078125,27928.00390625
12,10178.1533203125,9252.0869140625,8846.05078125,8009.3515625,20268.79296875,13629.5107421875,9208.88671875,30744.658203125,27366.591796875
12,10071.677734375,9128.9306640625,8703.55078125,7701.234375,19836.09765625,13373.302734375,8851.7216796875,30204.541015625,27017.546875
12,10091.76953125,9160.3515625,8798.537109375,7843.02880859375,20747.8203125,14015.3955078125,9134.166015625,29952.115234375,26874.24609375
12,9949.7158203125,8950.4072265625,8324.3310546875,7260.01220703125,19569.203125,12631.4599609375,8267.759765625,29795.6875,26797.921875
12,9968.8876953125,8951.2314453125,8342.1845703125,7197.19384765625,21059.466796875,12417.3515625,8063.46142578125,30041.794921875,26949.958984375
17,10058.041015625,9018.8837890625,7562.9921875,6403.41845703125,5906.3896484375,5255.255859375,5142.7392578125,28183.283203125,25566.75
17,10045.84375,9012.0380859375,7548.794921875,6384.31396484375,5879.68798828125,5245.501953125,5131.86181640625,28165.115234375,25561.29296875
